index,year,energia_Gg_CO2e_GWP_SAR,residuo_Gg_CO2e_GWP_SAR,agropecuaria_Gg_CO2e_GWP_SAR,ippu_Gg_CO2e_GWP_SAR,lulucf_Gg_CO2e_GWP_SAR
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1994,0.0,0.0,0.0,31339.578233537857,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1994,0.0,0.0,0.0,4910.7612104939335,0.0
"8691
Saúde pública",1994,0.0,16.314785704497787,0.0,0.0,0.0
"8692
Saúde privada",1994,0.0,29.004063474662736,0.0,0.0,0.0
RESIDENCIAL,1994,0.0,30919.23978300414,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1995,0.0,0.0,0.0,0.0,165980.28769550566
"0192
Pecuária, inclusive o apoio à pecuária",1995,0.0,701.3307000000001,0.0,0.0,1806236.261157273
"0280
Produção florestal; pesca e aquicultura",1995,0.0,0.0,0.0,0.0,-5982.803002888426
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1995,0.0,442.9887,0.0,0.0,0.0
"1100
Fabricação de bebidas",1995,0.0,230.9286,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1995,0.0,237.2181,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1995,0.0,0.0,0.0,12069.543842066818,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1995,0.0,0.0,0.0,16149.483592402516,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1995,0.0,0.0,0.0,33971.60810657404,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1995,0.0,0.0,0.0,5227.659977182583,0.0
"8691
Saúde pública",1995,0.0,16.587938907489345,0.0,0.0,0.0
"8692
Saúde privada",1995,0.0,29.48966916886995,0.0,0.0,0.0
RESIDENCIAL,1995,0.0,32598.90552092545,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1996,0.0,0.0,0.0,0.0,166796.33228650576
"0192
Pecuária, inclusive o apoio à pecuária",1996,0.0,798.8337,0.0,0.0,1085323.1471561028
"0280
Produção florestal; pesca e aquicultura",1996,0.0,0.0,0.0,0.0,-8910.766538270316
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1996,0.0,412.8138,0.0,0.0,0.0
"1100
Fabricação de bebidas",1996,0.0,241.1766,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1996,0.0,243.2115,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1996,0.0,0.0,0.0,10155.663335055146,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1996,0.0,0.0,0.0,18689.91936933007,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1996,0.0,0.0,0.0,32434.46003718114,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1996,0.0,0.0,0.0,5322.474241556716,0.0
"8691
Saúde pública",1996,0.0,16.784919393886216,0.0,0.0,0.0
"8692
Saúde privada",1996,0.0,29.83985670024217,0.0,0.0,0.0
RESIDENCIAL,1996,0.0,34225.96522337748,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1997,0.0,0.0,0.0,0.0,168471.64293090662
"0192
Pecuária, inclusive o apoio à pecuária",1997,0.0,818.6325,0.0,0.0,756933.9080088044
"0280
Produção florestal; pesca e aquicultura",1997,0.0,0.0,0.0,0.0,-15167.815941264798
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1997,0.0,367.2123,0.0,0.0,0.0
"1100
Fabricação de bebidas",1997,0.0,256.0026,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1997,0.0,245.5383,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1997,0.0,0.0,0.0,10329.22518747768,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1997,0.0,0.0,0.0,20292.1891289991,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1997,0.0,0.0,0.0,34926.91944302651,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1997,0.0,0.0,0.0,3946.5812802222154,0.0
"8691
Saúde pública",1997,0.0,17.03264426193847,0.0,0.0,0.0
"8692
Saúde privada",1997,0.0,30.280256465668398,0.0,0.0,0.0
RESIDENCIAL,1997,0.0,35423.45129825384,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1998,0.0,0.0,0.0,0.0,179137.0040220302
"0192
Pecuária, inclusive o apoio à pecuária",1998,0.0,831.8016,0.0,0.0,1016147.8884644924
"0280
Produção florestal; pesca e aquicultura",1998,0.0,0.0,0.0,0.0,-25950.54051343027
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1998,0.0,336.0924,0.0,0.0,0.0
"1100
Fabricação de bebidas",1998,0.0,281.4126,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1998,0.0,254.1567,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1998,0.0,0.0,0.0,11756.985766455338,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1998,0.0,0.0,0.0,20958.0169256661,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1998,0.0,0.0,0.0,37333.497436765865,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1998,0.0,0.0,0.0,3936.728832111941,0.0
"8691
Saúde pública",1998,0.0,17.30601170573972,0.0,0.0,0.0
"8692
Saúde privada",1998,0.0,30.76624303242617,0.0,0.0,0.0
RESIDENCIAL,1998,0.0,36735.81194784509,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",1999,0.0,0.0,0.0,0.0,167755.71837166097
"0192
Pecuária, inclusive o apoio à pecuária",1999,0.0,860.0844000000001,0.0,0.0,981277.7144108523
"0280
Produção florestal; pesca e aquicultura",1999,0.0,0.0,0.0,0.0,-25779.387196140924
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1999,0.0,383.9262,0.0,0.0,0.0
"1100
Fabricação de bebidas",1999,0.0,293.6871,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",1999,0.0,270.7215,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",1999,0.0,0.0,0.0,13130.934195340542,0.0
"2300
Fabricação de produtos de minerais não-metálicos",1999,0.0,0.0,0.0,21392.484994328814,0.0
"2491
Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",1999,0.0,0.0,0.0,34941.71279313612,0.0
"2492
Metalurgia de metais não-ferrosos e a fundição de metais",1999,0.0,0.0,0.0,3812.3068199048257,0.0
"8691
Saúde pública",1999,0.0,17.482948358456674,0.0,0.0,0.0
"8692
Saúde privada",1999,0.0,31.080797081700755,0.0,0.0,0.0
RESIDENCIAL,1999,0.0,38548.62347378763,0.0,0.0,0.0
"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita",2000,8983.803198634832,0.0,0.0,0.0,149964.5327298776
"0192
Pecuária, inclusive o apoio à pecuária",2000,3902.6068907190697,904.5183,0.0,0.0,1043442.5402011792
"0280
Produção florestal; pesca e aquicultura",2000,1856.822923380063,0.0,0.0,0.0,-18955.00005062515
"0580
Extração de carvão mineral e de minerais não-metálicos",2000,1523.3039205264804,0.0,0.0,0.0,0.0
"0680
Extração de petróleo e gás, inclusive as atividades de apoio",2000,1532.9038959383217,0.0,0.0,0.0,0.0
"0791
Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",2000,2022.7096971742824,0.0,0.0,0.0,0.0
"0792
Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos",2000,3533.079229853607,0.0,0.0,0.0,0.0
"1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",2000,2627.493559638932,379.8795,0.0,0.0,0.0
"1092
Fabricação e refino de açúcar",2000,689.5613333142301,0.0,0.0,0.0,0.0
"1093
Outros produtos alimentares",2000,1474.183084724436,0.0,0.0,0.0,0.0
"1100
Fabricação de bebidas",2000,573.4276356581074,323.2173,0.0,0.0,0.0
"1200
Fabricação de produtos do fumo",2000,25.684069889821377,0.0,0.0,0.0,0.0
"1300
Fabricação de produtos têxteis",2000,1332.5730728044512,0.0,0.0,0.0,0.0
"1400
Confecção de artefatos do vestuário e acessórios",2000,78.5671522918634,0.0,0.0,0.0,0.0
"1500
Fabricação de calçados e de artefatos de couro",2000,95.09131921427556,0.0,0.0,0.0,0.0
"1600
Fabricação de produtos da madeira",2000,1176.9148537632936,0.0,0.0,0.0,0.0
"1700
Fabricação de celulose, papel e produtos de papel",2000,4986.49779941696,274.83750000000003,0.0,0.0,0.0
"1800
Impressão e reprodução de gravações",2000,37.964668674720215,0.0,0.0,0.0,0.0
"1991
Refino de petróleo e coquerias",2000,42849.354303382024,0.0,0.0,0.0,0.0
"1992
Fabricação de biocombustíveis",2000,677.5196607835502,0.0,0.0,0.0,0.0
"2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2000,11729.723656391656,0.0,0.0,12744.205321402751,0.0
"2092
Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2000,2528.1972613865705,0.0,0.0,0.0,0.0
"2093
Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",2000,811.9545084602132,0.0,0.0,0.0,0.0
"2100
Fabricação de produtos farmoquímicos e farmacêuticos",2000,194.58255717039128,0.0,0.0,0.0,0.0
"2200
Fabricação de produtos de borracha e de material plástico",2000,1433.6104973956885,0.0,0.0,0.0,0.0
