setor,gas,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,ALCATRÃO
FERROVIÁRIO,CH4 Gg/1000 tep,0.00014991764705882355,0.0014390624999999996,0.0014390624999999996,0.003440117647058823,0.0030691875,0.000945,0.0001568,0.0001397666666666667,0.00014934444444444448,0.000138764705882353,0.00013192777777777784,0.000138764705882353,0.0014390624999999996,0.005614922222222224,0.002941941176470588,0.00012583529411764707,0.0013562588235294115
AÉREO,CH4 Gg/1000 tep,0.00014991764705882355,0.0014390624999999996,0.0014390624999999996,0.003440117647058823,0.0030691875,0.000945,0.00014147000000000004,0.0001397666666666667,1.57e-05,0.000138764705882353,1.57e-05,0.000138764705882353,0.0014390624999999996,0.005614922222222224,0.002941941176470588,0.00012583529411764707,0.0013562588235294115
HIDROVIÁRIO,CH4 Gg/1000 tep,0.00014991764705882355,0.0014390624999999996,0.0014390624999999996,0.003440117647058823,0.0030691875,0.000945,0.0001568,0.0001568,0.00014934444444444448,0.000138764705882353,0.00013192777777777784,0.000138764705882353,0.0014390624999999996,0.005614922222222224,0.002941941176470588,0.00012583529411764707,0.0013562588235294115
CIMENTO,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
FERRO-GUSA E AÇO,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
FERRO-LIGAS,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
MINERAÇÃO E PELOTIZAÇÃO,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
NÃO-FERROSOS E OUTROS DA METALURGIA,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
QUÍMICA,CH4 Gg/1000 tep,0.0001575,0.000315,0.000315,0.000942,0.000942,0.000945,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,6.3e-05,0.000315,0.0062775,0.000945,6.3e-05,0.000315
ALIMENTOS E BEBIDAS,CH4 Gg/1000 tep,0.0001568,0.0003143,0.0003143,0.00945,0.00945,0.000945,0.0003143,0.0003143,0.0003143,0.0003143,0.0003143,0.0003143,0.0003143,0.0003143,0.00945,0.0003143,0.0003143
