biome,from_level_1,to_level_2,year,values,total,coeficiente
PANTANAL,1. Forest,Land Use Mosaic,2014-2015,17590.48994610596,24143.597735028085,0.728577825855062
PANTANAL,1. Forest,Pasture,2014-2015,6514.369048474124,24143.597735028085,0.2698176601502488
AMAZÔNIA,1. Forest,Agriculture,2015-2016,15427.724467395043,1498959.2970669558,0.010292290456173683
AMAZÔNIA,1. Forest,Forest Plantation,2015-2016,1107.26628505249,1498959.2970669558,0.0007386900279541282
AMAZÔNIA,1. Forest,Land Use Mosaic,2015-2016,4.12746660766601,1498959.2970669558,2.753554826833729e-06
AMAZÔNIA,1. Forest,Pasture,2015-2016,1482420.1788479006,1498959.2970669558,0.9889662659610453
CAATINGA,1. Forest,Agriculture,2015-2016,9684.523560876463,279850.3572311463,0.03460607896554299
CAATINGA,1. Forest,Forest Plantation,2015-2016,23.83545243530273,279850.3572311463,8.517213510510372e-05
CAATINGA,1. Forest,Land Use Mosaic,2015-2016,133037.81942207643,279850.3572311463,0.47538913560218177
CAATINGA,1. Forest,Pasture,2015-2016,137104.17879575814,279850.3572311463,0.4899196132971702
CERRADO,1. Forest,Agriculture,2015-2016,70159.76919070435,604356.9560721598,0.11608995062568175
CERRADO,1. Forest,Forest Plantation,2015-2016,9420.692498040764,604356.9560721598,0.015587960729810712
CERRADO,1. Forest,Land Use Mosaic,2015-2016,124381.28034346916,604356.9560721598,0.20580764247647398
CERRADO,1. Forest,Pasture,2015-2016,400395.21403994557,604356.9560721598,0.6625144461680336
MATA ATLÂNTICA,1. Forest,Agriculture,2015-2016,3818.6288182189933,162289.7289577513,0.023529701126145157
MATA ATLÂNTICA,1. Forest,Forest Plantation,2015-2016,11629.236429083265,162289.7289577513,0.07165725461351094
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2015-2016,129475.61933726793,162289.7289577513,0.7978053828099877
MATA ATLÂNTICA,1. Forest,Pasture,2015-2016,17366.244373181133,162289.7289577513,0.10700766145035628
PAMPA,1. Forest,Agriculture,2015-2016,545.5068829223634,3858.8673824829043,0.1413645064348827
PAMPA,1. Forest,Forest Plantation,2015-2016,554.891945507813,3858.8673824829043,0.14379658342930143
PAMPA,1. Forest,Land Use Mosaic,2015-2016,2758.468554052728,3858.8673824829043,0.7148389101358159
PAMPA,1. Forest,Pasture,2015-2016,0.0,3858.8673824829043,0.0
PANTANAL,1. Forest,Agriculture,2015-2016,5.46237438354493,29954.317763244624,0.00018235682837842908
PANTANAL,1. Forest,Forest Plantation,2015-2016,0.515515441894531,29954.317763244624,1.721005452266027e-05
PANTANAL,1. Forest,Land Use Mosaic,2015-2016,22179.37749765624,29954.317763244624,0.7404400818926811
PANTANAL,1. Forest,Pasture,2015-2016,7768.962375762943,29954.317763244624,0.2593603512244178
AMAZÔNIA,1. Forest,Agriculture,2016-2017,17759.997736071786,1166718.921624565,0.015222173401749904
AMAZÔNIA,1. Forest,Forest Plantation,2016-2017,1795.9564760498017,1166718.921624565,0.0015393223189944262
AMAZÔNIA,1. Forest,Land Use Mosaic,2016-2017,3.69439501953125,1166718.921624565,3.1664824758195346e-06
AMAZÔNIA,1. Forest,Pasture,2016-2017,1147159.273017424,1166718.921624565,0.9832353377967799
CAATINGA,1. Forest,Agriculture,2016-2017,18934.627941650397,317535.2273186707,0.0596300073586735
CAATINGA,1. Forest,Forest Plantation,2016-2017,369.3594185302731,317535.2273186707,0.0011632076908417877
CAATINGA,1. Forest,Land Use Mosaic,2016-2017,158560.7431675537,317535.2273186707,0.49934851168001576
CAATINGA,1. Forest,Pasture,2016-2017,139670.4967909363,317535.2273186707,0.43985827327046884
CERRADO,1. Forest,Agriculture,2016-2017,79123.1953383911,564492.6243384524,0.14016692499945096
CERRADO,1. Forest,Forest Plantation,2016-2017,28501.17505053714,564492.6243384524,0.05048989804594632
CERRADO,1. Forest,Land Use Mosaic,2016-2017,126332.4974088014,564492.6243384524,0.2237983136747883
CERRADO,1. Forest,Pasture,2016-2017,330535.7565407227,564492.6243384524,0.5855448632798144
MATA ATLÂNTICA,1. Forest,Agriculture,2016-2017,4011.702412280276,166923.8118900574,0.024033134439336558
MATA ATLÂNTICA,1. Forest,Forest Plantation,2016-2017,16787.211192633058,166923.8118900574,0.10056810351113822
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2016-2017,129735.68382949219,166923.8118900574,0.7772149602894356
MATA ATLÂNTICA,1. Forest,Pasture,2016-2017,16389.21445565187,166923.8118900574,0.0981838017600895
PAMPA,1. Forest,Agriculture,2016-2017,522.8965721740724,11009.8363534668,0.04749358259166328
PAMPA,1. Forest,Forest Plantation,2016-2017,7127.21272796631,11009.8363534668,0.647349560806331
PAMPA,1. Forest,Land Use Mosaic,2016-2017,3359.727053326418,11009.8363534668,0.30515685660200575
PAMPA,1. Forest,Pasture,2016-2017,0.0,11009.8363534668,0.0
PANTANAL,1. Forest,Agriculture,2016-2017,2.18588876953125,29544.16557473751,7.398715539965528e-05
PANTANAL,1. Forest,Forest Plantation,2016-2017,0.6021484375,29544.16557473751,2.0381297822636165e-05
PANTANAL,1. Forest,Land Use Mosaic,2016-2017,19610.658735186742,29544.16557473751,0.6637743308599425
PANTANAL,1. Forest,Pasture,2016-2017,9930.718802343737,29544.16557473751,0.3361313006868351
AMAZÔNIA,1. Forest,Agriculture,2017-2018,14456.065161828614,1295008.8975142946,0.01116290798432066
AMAZÔNIA,1. Forest,Forest Plantation,2017-2018,1563.6663929382335,1295008.8975142946,0.0012074561000620255
AMAZÔNIA,1. Forest,Land Use Mosaic,2017-2018,3.09429226074219,1295008.8975142946,2.3893984563978906e-06
AMAZÔNIA,1. Forest,Pasture,2017-2018,1278986.071667267,1295008.8975142946,0.9876272465171609
CAATINGA,1. Forest,Agriculture,2017-2018,5449.64127928467,142284.16585686652,0.03830110853492188
CAATINGA,1. Forest,Forest Plantation,2017-2018,66.49318652343749,142284.16585686652,0.0004673266777297453
CAATINGA,1. Forest,Land Use Mosaic,2017-2018,68157.40782682496,142284.16585686652,0.47902313947842384
CAATINGA,1. Forest,Pasture,2017-2018,68610.62356423345,142284.16585686652,0.48220842530892455
CERRADO,1. Forest,Agriculture,2017-2018,61266.15013601083,510044.54883593746,0.1201192136566053
CERRADO,1. Forest,Forest Plantation,2017-2018,18731.648220715284,510044.54883593746,0.03672551400356318
CERRADO,1. Forest,Land Use Mosaic,2017-2018,136513.7413097351,510044.54883593746,0.2676506231098777
CERRADO,1. Forest,Pasture,2017-2018,293533.0091694762,510044.54883593746,0.5755046492299538
MATA ATLÂNTICA,1. Forest,Agriculture,2017-2018,6066.114445507838,135672.17232763063,0.04471155979473051
MATA ATLÂNTICA,1. Forest,Forest Plantation,2017-2018,23057.00233181153,135672.17232763063,0.16994643732932846
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2017-2018,91813.3607748535,135672.17232763063,0.6767294958109478
MATA ATLÂNTICA,1. Forest,Pasture,2017-2018,14735.694775457761,135672.17232763063,0.10861250706499323
PAMPA,1. Forest,Agriculture,2017-2018,469.6733836669916,7405.654299633789,0.06342091659479933
PAMPA,1. Forest,Forest Plantation,2017-2018,3597.632126818845,7405.654299633789,0.48579531007769944
PAMPA,1. Forest,Land Use Mosaic,2017-2018,3338.348789147953,7405.654299633789,0.45078377332750125
PAMPA,1. Forest,Pasture,2017-2018,0.0,7405.654299633789,0.0
PANTANAL,1. Forest,Agriculture,2017-2018,0.0,26756.833364013713,0.0
PANTANAL,1. Forest,Forest Plantation,2017-2018,1.03227461547852,26756.833364013713,3.8579849918520834e-05
PANTANAL,1. Forest,Land Use Mosaic,2017-2018,17229.655936260988,26756.833364013713,0.6439347923522897
PANTANAL,1. Forest,Pasture,2017-2018,9526.145153137246,26756.833364013713,0.3560266277977917
AMAZÔNIA,1. Forest,Agriculture,2018-2019,15066.414816137687,1239200.682535774,0.012158171818714068
AMAZÔNIA,1. Forest,Forest Plantation,2018-2019,6320.793826416025,1239200.682535774,0.0051007023442577485
AMAZÔNIA,1. Forest,Land Use Mosaic,2018-2019,2.750579388427732,1239200.682535774,2.21963998825374e-06
AMAZÔNIA,1. Forest,Pasture,2018-2019,1217810.723313832,1239200.682535774,0.98273890619704
CAATINGA,1. Forest,Agriculture,2018-2019,12442.675697540306,23888.290742932157,0.5208692338618546
CAATINGA,1. Forest,Forest Plantation,2018-2019,139.00784486694332,23888.290742932157,0.005819078742922268
CAATINGA,1. Forest,Land Use Mosaic,2018-2019,4904.644807415773,23888.290742932157,0.2053158537040543
CAATINGA,1. Forest,Pasture,2018-2019,6401.9623931091355,23888.290742932157,0.26799583369116886
CERRADO,1. Forest,Agriculture,2018-2019,70959.93243643767,445240.4715726132,0.15937439870594733
CERRADO,1. Forest,Forest Plantation,2018-2019,46330.781825768994,445240.4715726132,0.10405788508426961
CERRADO,1. Forest,Land Use Mosaic,2018-2019,75613.36120883183,445240.4715726132,0.1698258941775023
CERRADO,1. Forest,Pasture,2018-2019,252336.39610157473,445240.4715726132,0.5667418220322807
MATA ATLÂNTICA,1. Forest,Agriculture,2018-2019,2198.751603881835,220398.89715607293,0.009976236869846106
MATA ATLÂNTICA,1. Forest,Forest Plantation,2018-2019,57320.78779522705,220398.89715607293,0.26007747105302437
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2018-2019,144751.64936159662,220398.89715607293,0.6567712054343557
MATA ATLÂNTICA,1. Forest,Pasture,2018-2019,16127.708395367436,220398.89715607293,0.07317508664277383
PAMPA,1. Forest,Agriculture,2018-2019,827.3903287048345,10266.758326226809,0.08058924759056962
PAMPA,1. Forest,Forest Plantation,2018-2019,5026.374376373294,10266.758326226809,0.4895775488873871
PAMPA,1. Forest,Land Use Mosaic,2018-2019,4412.993621148682,10266.758326226809,0.42983320352204346
PAMPA,1. Forest,Pasture,2018-2019,0.0,10266.758326226809,0.0
PANTANAL,1. Forest,Agriculture,2018-2019,0.0,27159.477986254897,0.0
PANTANAL,1. Forest,Forest Plantation,2018-2019,9.29106812744141,27159.477986254897,0.0003420930303647041
PANTANAL,1. Forest,Land Use Mosaic,2018-2019,20341.982293121328,27159.477986254897,0.7489828156276116
PANTANAL,1. Forest,Pasture,2018-2019,6808.204625006127,27159.477986254897,0.25067509134202365
AMAZÔNIA,1. Forest,Agriculture,2019-2020,3660.1461874572783,1135029.1931380013,0.0032247154606994005
AMAZÔNIA,1. Forest,Forest Plantation,2019-2020,2334.185700561526,1135029.1931380013,0.0020564983831898027
AMAZÔNIA,1. Forest,Land Use Mosaic,2019-2020,2.6642629638671895,1135029.1931380013,2.347307875404803e-06
AMAZÔNIA,1. Forest,Pasture,2019-2020,1129032.1969870187,1135029.1931380013,0.9947164388482355
CAATINGA,1. Forest,Agriculture,2019-2020,12078.783580462617,18887.975133880587,0.639495948869401
CAATINGA,1. Forest,Forest Plantation,2019-2020,49.87989757080078,18887.975133880587,0.002640828210395511
CAATINGA,1. Forest,Land Use Mosaic,2019-2020,4423.401147650149,18887.975133880587,0.2341913898285268
CAATINGA,1. Forest,Pasture,2019-2020,2335.91050819702,18887.975133880587,0.12367183309167672
CERRADO,1. Forest,Agriculture,2019-2020,50284.6876922791,194614.64636351325,0.25838079832056554
CERRADO,1. Forest,Forest Plantation,2019-2020,19770.20877948607,194614.64636351325,0.10158643837400631
CERRADO,1. Forest,Land Use Mosaic,2019-2020,108690.35249467776,194614.64636351325,0.5584900958156007
CERRADO,1. Forest,Pasture,2019-2020,15869.397397070317,194614.64636351325,0.08154266748982744
MATA ATLÂNTICA,1. Forest,Agriculture,2019-2020,3076.3548707458476,179215.9921146667,0.017165626987001928
MATA ATLÂNTICA,1. Forest,Forest Plantation,2019-2020,22842.50782653198,179215.9921146667,0.12745797714255763
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2019-2020,152040.6752670532,179215.9921146667,0.8483655586370545
MATA ATLÂNTICA,1. Forest,Pasture,2019-2020,1256.4541503356932,179215.9921146667,0.007010837233385866
PAMPA,1. Forest,Agriculture,2019-2020,388.7692771850579,11317.200440008546,0.034352071366579445
PAMPA,1. Forest,Forest Plantation,2019-2020,5551.140079882809,11317.200440008546,0.490504706469493
PAMPA,1. Forest,Land Use Mosaic,2019-2020,5377.291082940678,11317.200440008546,0.47514322216392746
PAMPA,1. Forest,Pasture,2019-2020,0.0,11317.200440008546,0.0
PANTANAL,1. Forest,Agriculture,2019-2020,2.23464682617187,29301.165865960706,7.626477514220242e-05
PANTANAL,1. Forest,Forest Plantation,2019-2020,55.2894444152833,29301.165865960706,0.0018869366723565527
PANTANAL,1. Forest,Land Use Mosaic,2019-2020,27749.29055803224,29301.165865960706,0.9470370798545158
PANTANAL,1. Forest,Pasture,2019-2020,1494.3512166870091,29301.165865960706,0.05099971869798545
AMAZÔNIA,1. Forest,Agriculture,2020-2021,21667.205805401616,2320834.899747161,0.009335953112288214
AMAZÔNIA,1. Forest,Forest Plantation,2020-2021,6588.956523504641,2320834.899747161,0.0028390457779751857
AMAZÔNIA,1. Forest,Land Use Mosaic,2020-2021,3.09344431762696,2320834.899747161,1.3329014993543787e-06
AMAZÔNIA,1. Forest,Pasture,2020-2021,2292575.6439739373,2320834.899747161,0.9878236682082372
CAATINGA,1. Forest,Agriculture,2020-2021,6362.255446209785,18759.01542826545,0.33915721592847314
CAATINGA,1. Forest,Forest Plantation,2020-2021,589.6058485168458,18759.01542826545,0.031430532736192944
CAATINGA,1. Forest,Land Use Mosaic,2020-2021,5996.566410150152,18759.01542826545,0.3196631738526494
CAATINGA,1. Forest,Pasture,2020-2021,5810.5877233886695,18759.01542826545,0.3097490774826845
CERRADO,1. Forest,Agriculture,2020-2021,9797.836913653553,756948.5454594239,0.012943861207510258
CERRADO,1. Forest,Forest Plantation,2020-2021,31931.12549854741,756948.5454594239,0.04218401064390324
CERRADO,1. Forest,Land Use Mosaic,2020-2021,264046.2497283388,756948.5454594239,0.34882985285093326
CERRADO,1. Forest,Pasture,2020-2021,451173.3333188841,756948.5454594239,0.5960422752976532
MATA ATLÂNTICA,1. Forest,Agriculture,2020-2021,11746.974551708981,419041.10715608025,0.028032988532873424
MATA ATLÂNTICA,1. Forest,Forest Plantation,2020-2021,28918.386995037887,419041.10715608025,0.06901085955814511
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2020-2021,360736.27457313344,419041.10715608025,0.8608613055204868
MATA ATLÂNTICA,1. Forest,Pasture,2020-2021,17639.471036199968,419041.10715608025,0.042094846388494755
PAMPA,1. Forest,Agriculture,2020-2021,2571.5328707275385,42968.16609346283,0.05984739644540638
PAMPA,1. Forest,Forest Plantation,2020-2021,21870.79974822355,42968.16609346283,0.5090000746285276
PAMPA,1. Forest,Land Use Mosaic,2020-2021,18525.833474511735,42968.16609346283,0.43115252892606587
PAMPA,1. Forest,Pasture,2020-2021,0.0,42968.16609346283,0.0
PANTANAL,1. Forest,Agriculture,2020-2021,8.432539038085938,54475.09090239865,0.00015479623619525957
PANTANAL,1. Forest,Forest Plantation,2020-2021,37.66277572021488,54475.09090239865,0.0006913760967869538
PANTANAL,1. Forest,Land Use Mosaic,2020-2021,51322.446675219704,54475.09090239865,0.9421268661519547
PANTANAL,1. Forest,Pasture,2020-2021,3106.548912420653,54475.09090239865,0.05702696151506312
