biome,from_level_1,to_level_2,year,values,total,coeficiente
CAATINGA,1. Forest,Land Use Mosaic,2008-2009,188552.57410995508,346993.81215420546,0.5433888660416848
CAATINGA,1. Forest,Pasture,2008-2009,142650.5958660217,346993.81215420546,0.4111041490348744
CERRADO,1. Forest,Agriculture,2008-2009,71525.9235524414,576277.9944789128,0.12411704808738568
CERRADO,1. Forest,Forest Plantation,2008-2009,45404.20298104255,576277.9944789128,0.0787887155436125
CERRADO,1. Forest,Land Use Mosaic,2008-2009,141671.16814159584,576277.9944789128,0.24583824039593774
CERRADO,1. Forest,Pasture,2008-2009,317676.69980383303,576277.9944789128,0.5512559959730642
MATA ATLÂNTICA,1. Forest,Agriculture,2008-2009,3598.262068475342,219289.636728363,0.01640871918143837
MATA ATLÂNTICA,1. Forest,Forest Plantation,2008-2009,37371.502805676275,219289.636728363,0.17042074291895906
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2008-2009,149984.36457485956,219289.636728363,0.6839555521752594
MATA ATLÂNTICA,1. Forest,Pasture,2008-2009,28335.507279351827,219289.636728363,0.12921498572434317
PAMPA,1. Forest,Agriculture,2008-2009,749.449360308838,7088.520645837392,0.10572718875396643
PAMPA,1. Forest,Forest Plantation,2008-2009,3755.637704138179,7088.520645837392,0.5298196749054558
PAMPA,1. Forest,Land Use Mosaic,2008-2009,2583.433581390376,7088.520645837392,0.3644531363405778
PAMPA,1. Forest,Pasture,2008-2009,0.0,7088.520645837392,0.0
PANTANAL,1. Forest,Agriculture,2008-2009,3.571830804443354,32709.341132592792,0.00010919910584454574
PANTANAL,1. Forest,Forest Plantation,2008-2009,0.0,32709.341132592792,0.0
PANTANAL,1. Forest,Land Use Mosaic,2008-2009,24757.23646380005,32709.341132592792,0.7568858193579151
PANTANAL,1. Forest,Pasture,2008-2009,7948.5328379882985,32709.341132592792,0.24300498153624037
AMAZÔNIA,1. Forest,Agriculture,2009-2010,11972.022575726292,875265.4925966308,0.013678161285907842
AMAZÔNIA,1. Forest,Forest Plantation,2009-2010,1619.7237544616696,875265.4925966308,0.0018505513677415418
AMAZÔNIA,1. Forest,Land Use Mosaic,2009-2010,2.580204083251953,875265.4925966308,2.9479102113317854e-06
AMAZÔNIA,1. Forest,Pasture,2009-2010,861671.1660623596,875265.4925966308,0.9844683394361392
CAATINGA,1. Forest,Agriculture,2009-2010,7540.040223822018,330871.2454589725,0.022788442112468096
CAATINGA,1. Forest,Forest Plantation,2009-2010,65.81666640014652,330871.2454589725,0.00019891926936367057
CAATINGA,1. Forest,Land Use Mosaic,2009-2010,167946.61954575204,330871.2454589725,0.5075890451368253
CAATINGA,1. Forest,Pasture,2009-2010,155318.76902299828,330871.2454589725,0.4694235934813427
CERRADO,1. Forest,Agriculture,2009-2010,132991.53374629648,597436.0708895766,0.22260379013987783
CERRADO,1. Forest,Forest Plantation,2009-2010,44206.12066758416,597436.0708895766,0.07399305602984713
CERRADO,1. Forest,Land Use Mosaic,2009-2010,130454.48531893316,597436.0708895766,0.2183572296274105
CERRADO,1. Forest,Pasture,2009-2010,289783.9311567628,597436.0708895766,0.48504592420286463
MATA ATLÂNTICA,1. Forest,Agriculture,2009-2010,17803.03112107545,232556.7148033081,0.07655350281385298
MATA ATLÂNTICA,1. Forest,Forest Plantation,2009-2010,36091.61393417963,232556.7148033081,0.15519489069453535
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2009-2010,155771.95154637453,232556.7148033081,0.6698234952197505
MATA ATLÂNTICA,1. Forest,Pasture,2009-2010,22890.11820167848,232556.7148033081,0.09842811127186112
PAMPA,1. Forest,Agriculture,2009-2010,895.5959386169442,10587.150723510736,0.08459272584342328
PAMPA,1. Forest,Forest Plantation,2009-2010,6637.986994067384,10587.150723510736,0.6269852170260031
PAMPA,1. Forest,Land Use Mosaic,2009-2010,3053.567790826408,10587.150723510736,0.2884220571305737
PAMPA,1. Forest,Pasture,2009-2010,0.0,10587.150723510736,0.0
PANTANAL,1. Forest,Agriculture,2009-2010,2.947166662597659,28542.478429211416,0.00010325545729698865
PANTANAL,1. Forest,Forest Plantation,2009-2010,0.515254547119141,28542.478429211416,1.8052200631316258e-05
PANTANAL,1. Forest,Land Use Mosaic,2009-2010,20768.876551861576,28542.478429211416,0.7276479722449732
PANTANAL,1. Forest,Pasture,2009-2010,7770.139456140126,28542.478429211416,0.27223072009709853
AMAZÔNIA,1. Forest,Agriculture,2010-2011,8205.29906650391,923292.888107147,0.00888699476861095
AMAZÔNIA,1. Forest,Forest Plantation,2010-2011,1012.0751782592775,923292.888107147,0.001096158316928168
AMAZÔNIA,1. Forest,Land Use Mosaic,2010-2011,1.8053331054687491,923292.888107147,1.9553200601056103e-06
AMAZÔNIA,1. Forest,Pasture,2010-2011,914073.7085292783,923292.888107147,0.9900148915944008
CAATINGA,1. Forest,Agriculture,2010-2011,9489.676715808086,382590.08398959343,0.024803770701140825
CAATINGA,1. Forest,Forest Plantation,2010-2011,123.60666324462905,382590.08398959343,0.0003230785857167986
CAATINGA,1. Forest,Land Use Mosaic,2010-2011,185444.763124713,382590.08398959343,0.4847087545785875
CAATINGA,1. Forest,Pasture,2010-2011,187532.03748582775,382590.08398959343,0.49016439613455504
CERRADO,1. Forest,Agriculture,2010-2011,71832.02928016944,560494.3490960083,0.128158346994976
CERRADO,1. Forest,Forest Plantation,2010-2011,34366.542142108185,560494.3490960083,0.06131469870755372
CERRADO,1. Forest,Land Use Mosaic,2010-2011,157858.75370239886,560494.3490960083,0.28164200755458263
CERRADO,1. Forest,Pasture,2010-2011,296437.02397133183,560494.3490960083,0.5288849467428877
MATA ATLÂNTICA,1. Forest,Agriculture,2010-2011,5724.785822332744,205392.67445643933,0.027872395339722227
MATA ATLÂNTICA,1. Forest,Forest Plantation,2010-2011,33612.29562692872,205392.67445643933,0.16364895055717957
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2010-2011,148129.31635969252,205392.67445643933,0.7212005820154432
MATA ATLÂNTICA,1. Forest,Pasture,2010-2011,17926.276647485352,205392.67445643933,0.08727807208765492
PAMPA,1. Forest,Agriculture,2010-2011,907.3583235900901,8952.181594610603,0.10135611236219096
PAMPA,1. Forest,Forest Plantation,2010-2011,4300.62730929566,8952.181594610603,0.48039991859467257
PAMPA,1. Forest,Land Use Mosaic,2010-2011,3744.195961724853,8952.181594610603,0.41824396904313643
PAMPA,1. Forest,Pasture,2010-2011,0.0,8952.181594610603,0.0
PANTANAL,1. Forest,Agriculture,2010-2011,0.0,27821.0783006958,0.0
PANTANAL,1. Forest,Forest Plantation,2010-2011,10.61215568237305,27821.0783006958,0.00038144300403006456
PANTANAL,1. Forest,Land Use Mosaic,2010-2011,21750.799219964603,27821.0783006958,0.7818100716614071
PANTANAL,1. Forest,Pasture,2010-2011,6059.666925048821,27821.0783006958,0.21780848533456268
AMAZÔNIA,1. Forest,Agriculture,2011-2012,15652.511621984846,875256.8297302789,0.01788333559968719
AMAZÔNIA,1. Forest,Forest Plantation,2011-2012,1069.563329907227,875256.8297302789,0.0012219994104322796
AMAZÔNIA,1. Forest,Land Use Mosaic,2011-2012,7.21812339477539,875256.8297302789,8.24686326298047e-06
AMAZÔNIA,1. Forest,Pasture,2011-2012,858527.536654992,875256.8297302789,0.9808864181266175
CAATINGA,1. Forest,Agriculture,2011-2012,9787.958062261972,646153.5601232363,0.01514803703998038
CAATINGA,1. Forest,Forest Plantation,2011-2012,40.09298425903318,646153.5601232363,6.204869358204346e-05
CAATINGA,1. Forest,Land Use Mosaic,2011-2012,308365.52685162326,646153.5601232363,0.4772325742394902
CAATINGA,1. Forest,Pasture,2011-2012,327959.982225092,646153.5601232363,0.5075573400269474
CERRADO,1. Forest,Agriculture,2011-2012,272817.96091065503,914138.5409247116,0.2984426853228195
CERRADO,1. Forest,Forest Plantation,2011-2012,29420.6662830689,914138.5409247116,0.032184034438924265
CERRADO,1. Forest,Land Use Mosaic,2011-2012,176960.56154196154,914138.5409247116,0.1935817752120529
CERRADO,1. Forest,Pasture,2011-2012,434939.35218902613,914138.5409247116,0.4757915050262034
MATA ATLÂNTICA,1. Forest,Agriculture,2011-2012,4993.999489758302,198632.90645561533,0.02514185377876558
MATA ATLÂNTICA,1. Forest,Forest Plantation,2011-2012,34249.547323590064,198632.90645561533,0.17242635137719817
MATA ATLÂNTICA,1. Forest,Land Use Mosaic,2011-2012,136094.93120632338,198632.90645561533,0.6851580316413176
MATA ATLÂNTICA,1. Forest,Pasture,2011-2012,23294.428435943584,198632.90645561533,0.11727376320271858
PAMPA,1. Forest,Agriculture,2011-2012,1258.0231012634274,15975.12124791871,0.07874889221434402
