setor,gas,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,ALCATRÃO
FERRO-GUSA E AÇ0,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.0003150
FERRO-LIGAS,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.0003150
MINERAÇÃO E PELOTIZ.,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.0003150
NÃO-FER. E OUT METAL.,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.0003150
QUÍMICA,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.0003150
ALIMENTOS E BEBIDAS,CH4 Gg/1000 tep,0.0001568,0.0003143,0.0003143,0.0094500,0.0094500,0.0009450,0.0003143,0.0003143,0.0003143,0.0003143,0.0003143,0.0003143,0.0003143,0.0003143,0.0094500,0.0003143,0.0003143
TEXTIL,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.0003150
PAPEL E CELULOSE,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.0003150
CERÂMICA,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.000315
OUTROS,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.0003150
CONSUMO NÃO-IDENTIFICADO,CH4 Gg/1000 tep,0.0001575,0.0003150,0.0003150,0.0009420,0.0009420,0.0009450,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0000630,0.0003150,0.0062775,0.0009450,0.0000630,0.0003150
SETOR ENERGÉTICO,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
RESIDENCIAL,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000250,0.0000250,0.0000250,0.0000250,0.0000250,0.0000250,0.0000586,0.0000419,0.0001670,0.0000250,0.0000586
COMERCIAL,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0000419,0.0001670,0.0000251,0.0000586
PÚBLICO,N2O Gg/1000 tep,0.0000042,-,-,0.0001670,-,0.0001670,0.0000251,0.0000251,,0.0000251,0.0000251,0.0000251,-,0.0000419,,-,-
AGROPECUÁRIO,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0000419,0.0001670,0.0000251,0.0000586
RODOMÁRIO,N2O Gg/1000 tep,-,-,-,-,-,0.0001670,0.0000251,-,0.0000251,-,-,-,-,-,,-,-
FERROMÁRIO,N2O Gg/1000 tep,-,-,-,-,-,0.0001670,0.0000251,-,-,-,-,-,-,-,-,-,-
AÉREO,N2O Gg/1000 tep,-,-,-,-,-,0.0001670,-,-,0.0000837,-,0.0000837,-,-,-,-,-,-
HIDROVAÁRIO,N2O Gg/1000 tep,-,-,-,-,-,0.0001670,0.0000251,0.0000251,-,-,-,-,-,-,-,-,-
CIMENT 0,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
FERRO-GUSA EAÇO,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
FERRO-LIGAS,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
MINERAÇÃO E PELOTIZ.,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
NÃO-FER. E OUT METAL,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
QUÍMICA,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
ALIMENTOS EBEBIDAS,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0000419,0.0001670,0.0000251,0.0000586
TEXTIL,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
PAPEL E CELULOSE,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
CERÂMICA,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
OUTROS,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
CONSUMO NÃO-IDENTIFICADO,N2O Gg/1000 tep,0.0000042,0.0000586,0.0000586,0.0001670,0.0001670,0.0001670,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000251,0.0000586,0.0001670,0.0001670,0.0000251,0.0000586
