"CD_MUN","Soil_Group","NM_MUN","SIGLA_UF","Symbol_WRB","WRB1","Legenda","Rotulo","area","porc_mun","note","note2","final_note_mun"
1100072.0,LIXISOLS,Corumbiara,RO,LXro,Rhodic LIXISOLS,Rhodic LIXISOLS,LX,132.449603209571,0.0432796368749835,"0.5",0.0216398184374917,0.656387059599265
1100072.0,FERRALSOLS,Corumbiara,RO,FRxa,Xanthic FERRALSOLS,Xanthic FERRALSOLS,FR,810.771516081008,0.26493017686919,"0.5",0.132465088434595,0.656387059599265
1100072.0,ACRISOLS,Corumbiara,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,1051.72681312482,0.343665465661709,"0.5",0.171832732830854,0.656387059599265
1100072.0,ARENOSOLS,Corumbiara,RO,ARdy,Dystric ARENOSOLS,Dystric ARENOSOLS,AR,46.3428027771063,0.0151431157765612,"0",0.0,0.656387059599265
1100080.0,Rock Outcrops,Costa Marques,RO,RO,Rock Outcrops,Rock Outcrops,RO,209.61457616152,0.0426935879647845,"0",0.0,0.446344202683487
1100080.0,LEPTOSOLS,Costa Marques,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,311.94051109773,0.0635349883305281,"0",0.0,0.446344202683487
1100080.0,FLUVISOLS,Costa Marques,RO,FLdy,Dystric FLUVISOLS,Dystric FLUVISOLS,FL,49.7167572895966,0.010126140984736,"1",0.010126140984736,0.446344202683487
1100080.0,FERRALSOLS,Costa Marques,RO,FRxa,Xanthic FERRALSOLS,Xanthic FERRALSOLS,FR,4283.43779362864,0.872436123397502,"0.5",0.436218061698751,0.446344202683487
1100080.0,Water,Costa Marques,RO,Water,,Water,Water,55.0340997912912,0.0112091593224496,"0",0.0,0.446344202683487
1100098.0,CAMBISOLS,Espigão D'Oeste,RO,CMeu,Eutric CAMBISOLS,Eutric CAMBISOLS,CM,556.776337015206,0.123233998824855,"1",0.123233998824855,0.371523083105638
1100098.0,LIXISOLS,Espigão D'Oeste,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,1301.38332607132,0.288041464074253,"0.5",0.144020732037126,0.371523083105638
1100098.0,LEPTOSOLS,Espigão D'Oeste,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,1717.70445525497,0.380187832613579,"0",0.0,0.371523083105638
1100098.0,ACRISOLS,Espigão D'Oeste,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,942.177512414301,0.208536704487313,"0.5",0.104268352243657,0.371523083105638
1100106.0,FERRALSOLS,Guajará-Mirim,RO,FRxa,Xanthic FERRALSOLS,Xanthic FERRALSOLS,FR,10615.1812250986,0.432697997728327,"0.5",0.216348998864163,0.411542545878759
1100106.0,ARENOSOLS,Guajará-Mirim,RO,ARgl,Gleyic ARENOSOLS,Gleyic ARENOSOLS,AR,718.741093853586,0.029297458573782,"0",0.0,0.411542545878759
1100106.0,ACRISOLS,Guajará-Mirim,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,5257.69177075981,0.214315012964778,"0.5",0.107157506482389,0.411542545878759
1100106.0,Rock Outcrops,Guajará-Mirim,RO,RO,Rock Outcrops,Rock Outcrops,RO,2374.71210654467,0.0967984579720214,"0",0.0,0.411542545878759
1100106.0,ARENOSOLS,Guajará-Mirim,RO,ARdy,Dystric ARENOSOLS,Dystric ARENOSOLS,AR,872.660653322758,0.0355715563759058,"0",0.0,0.411542545878759
1100106.0,LEPTOSOLS,Guajará-Mirim,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,1255.57217825256,0.0511798674005428,"0",0.0,0.411542545878759
1100106.0,GLEYSOLS,Guajará-Mirim,RO,GLdy,Dystric GLEYSOLS,Dystric GLEYSOLS,GL,756.564447611567,0.0308392211769255,"0.5",0.0154196105884628,0.411542545878759
1100106.0,FERRALSOLS,Guajará-Mirim,RO,FRha,Haplic FERRALSOLS,Haplic FERRALSOLS,FR,858.765662524889,0.0350051661684097,"0.5",0.0175025830842049,0.411542545878759
1100106.0,Water,Guajará-Mirim,RO,Water,,Water,Water,274.185982954657,0.0111764201961188,"0",0.0,0.411542545878759
1100106.0,FLUVISOLS,Guajará-Mirim,RO,FLdy,Dystric FLUVISOLS,Dystric FLUVISOLS,FL,1350.06904232471,0.0550317662055249,"1",0.0550317662055249,0.411542545878759
1100106.0,LEPTOSOLS,Guajará-Mirim,RO,LPeu,Eutric LEPTOSOLS,Eutric LEPTOSOLS,LP,196.382855149548,0.0080049945836504,"0",0.0,0.411542545878759
1100106.0,NITISOLS,Guajará-Mirim,RO,NTdy,Dystric NITISOLS,Dystric NITISOLS,NT,2.01364698243785,0.0000820806540139,"1",0.0000820806540139,0.411542545878759
1100114.0,LEPTOSOLS,Jaru,RO,LPeu,Eutric LEPTOSOLS,Eutric LEPTOSOLS,LP,143.586253579337,0.0487704947517876,"0",0.0,0.475614752624106
1100114.0,ACRISOLS,Jaru,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,183.16808160312,0.0622148551120463,"0.5",0.0311074275560232,0.475614752624106
1100114.0,LIXISOLS,Jaru,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,2617.3669887882,0.889014650136166,"0.5",0.444507325068083,0.475614752624106
1100122.0,LEPTOSOLS,Ji-Paraná,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,231.311135782088,0.0335396568473063,"0",0.0,0.483230171576347
1100122.0,ACRISOLS,Ji-Paraná,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,2475.39019337433,0.358926678424927,"0.5",0.179463339212464,0.483230171576347
1100122.0,LIXISOLS,Ji-Paraná,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,2763.53292034925,0.400706803506714,"0.5",0.200353401753357,0.483230171576347
1100122.0,FERRALSOLS,Ji-Paraná,RO,FRha,Haplic FERRALSOLS,Haplic FERRALSOLS,FR,1426.41161765877,0.206826861221053,"0.5",0.103413430610526,0.483230171576347
1100130.0,PLINTHOSOLS,Machadinho D'Oeste,RO,PTdy,Dystric PLINTHOSOLS,Dystric PLINTHOSOLS,PT,467.978401727562,0.0549963261481693,"0.5",0.0274981630740846,0.5
1100130.0,ACRISOLS,Machadinho D'Oeste,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,1556.05441150253,0.182865866466014,"0.5",0.091432933233007,0.5
1100130.0,FERRALSOLS,Machadinho D'Oeste,RO,FRxa,Xanthic FERRALSOLS,Xanthic FERRALSOLS,FR,628.426840141482,0.0738520567041137,"0.5",0.0369260283520569,0.5
1100130.0,FERRALSOLS,Machadinho D'Oeste,RO,FRha,Haplic FERRALSOLS,Haplic FERRALSOLS,FR,4682.26989862095,0.550255399624669,"0.5",0.275127699812335,0.5
1100130.0,GLEYSOLS,Machadinho D'Oeste,RO,GLdy,Dystric GLEYSOLS,Dystric GLEYSOLS,GL,714.609120580596,0.0839801070280723,"0.5",0.0419900535140362,0.5
1100130.0,PODZOLS,Machadinho D'Oeste,RO,PZgl,Gleyic PODZOLS,Gleyic PODZOLS,PZ,459.927936740918,0.0540502440289615,"0.5",0.0270251220144808,0.5
1100148.0,ACRISOLS,Nova Brasilândia D'Oeste,RO,ACcr,Chromic ACRISOLS,Chromic ACRISOLS,AC,475.442199492639,0.279177985442157,"0.5",0.139588992721078,0.394899943346077
1100148.0,LEPTOSOLS,Nova Brasilândia D'Oeste,RO,LPdy,Dystric LEPTOSOLS,Dystric LEPTOSOLS,LP,357.972366791043,0.210200113307846,"0",0.0,0.394899943346077
1100148.0,FERRALSOLS,Nova Brasilândia D'Oeste,RO,FRxa,Xanthic FERRALSOLS,Xanthic FERRALSOLS,FR,52.1850392217489,0.0306428712800311,"0.5",0.0153214356400156,0.394899943346077
1100148.0,FERRALSOLS,Nova Brasilândia D'Oeste,RO,FRha,Haplic FERRALSOLS,Haplic FERRALSOLS,FR,104.70472399598,0.0614822452501449,"0.5",0.0307411226250725,0.394899943346077
1100148.0,LIXISOLS,Nova Brasilândia D'Oeste,RO,LXcr,Chromic LIXISOLS,Chromic LIXISOLS,LX,712.703157781809,0.418496784719821,"0.5",0.20924839235991,0.394899943346077
1100155.0,LEPTOSOLS,Ouro Preto do Oeste,RO,LPeu,Eutric LEPTOSOLS,Eutric LEPTOSOLS,LP,2.39520130672503,0.0012159351474178,"0",0.0,0.488409897924894
