Cod_GTAP;Sec_GTAP;Cod_IBGE;Sec_IBGE;DescrSetor;CodGTAP;GTAP;ShareCN;FatorCN;GTAP_2;IPCA;A-I-S-M;C-NC
37;TranspAux46;5280;46;Armazenamento, atividades auxiliares dos transportes e correio;37;TranspAux46;1;1;TranspAux46;Serviços;M;NC
38;Alojamen47;5500;47;Alojamento;38;Alojamen47;0,1;1;Alojamen47;Alimentos; S;NC
38;Aliment48;5600;48;Alimentação;38;Aliment48;0,9;1;Alojamen47;Duráveis; S;NC
39;Edicao49;5800;49;Edição e edição integrada à impressão;39;Edicao49;0,07;1;Comun51;Serviços; S;NC
39;Audiovis50;5980;50;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;39;Audiovis50;0,12;1;Comun51;Serviços; S;NC
39;Comun51;6100;51;Telecomunicações;39;Comun51;0,49;1;Comun51;Serviços;M;NC
39;TecInf52;6280;52;Desenvolvimento de sistemas e outros serviços de informação;39;TecInf52;0,32;1;Comun51;Serviços; S;NC
40;FinSeg53;6480;53;Intermediação financeira, seguros e previdência complementar;40;FinSeg53;1;1;FinSeg53;Serviços; S;NC
41;Imobil54;6800;54;Atividades imobiliárias;41;Imobil54;1;1;Imobil54;Serviços; S;NC
42;ServEmpr55;6980;55;Atividades jurídicas, contábeis, consultoria e sedes de empresas;42;ServEmpr55;0,28;1;ServEmpr55;Serviços;M;NC
42;;7180;56;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;42;;0,12;1;ServEmpr55;Serviços; S;NC
42;;7380;57;Outras atividades profissionais, científicas e técnicas;42;;0,14;1;ServEmpr55;Serviços; S;NC
42;;7700;58;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;42;;0,08;1;ServEmpr55;Serviços; S;NC
42;;7880;59;Outras atividades administrativas e serviços complementares;42;;0,32;1;ServEmpr55;Serviços; S;NC
42;;8000;60;Atividades de vigilância, segurança e investigação;42;;0,06;1;ServEmpr55;Serviços; S;NC
43;AdmPub61;8400;61;Administração pública, defesa e seguridade social;43;AdmPub61;1;1;AdmPub61;Serviços; S;NC
44;Educ62;8591;62;Educação pública;44;Educ62;0,75;1;Educ62;Serviços; S;NC
44;EducPriv63;8592;63;Educação privada;44;EducPriv63;0,25;1;Educ62;Serviços; S;NC
45;Saud64;8691;64;Saúde pública;45;Saud64;0,48;1;Saud64;Serviços; S;NC
45;SaudPriv65;8692;65;Saúde privada;45;SaudPriv65;0,52;1;Saud64;Serviços;M;NC
46;ArteOut66;9080;66;Atividades artísticas, criativas e de espetáculos;46;ArteOut66;0,14;1;ArteOut66;Serviços;M;NC
46;OrgPess67;9480;67;Organizações associativas e outros serviços pessoais;46;OrgPess67;0,61;1;ArteOut66;Serviços;M;NC
46;ServDom68;9700;68;Serviços domésticos;46;ServDom68;0,25;1;ArteOut66;Serviços; S;NC
;;;;;;;;;;;;
"1/ A = Alimentos; I = bens industriais; S = serviços; M = monitorados.";;;;;;;;;;;;
"2/ C = bens comercializáveis; NC = bens não comercializáveis.";;;;;;;;;;;;
"3/ D = bens duráveis; SD = bens semi-duráveis; ND = bens não duráveis.";;;;;;;;;;;;
;;;;;;;;;;;;
classe;Peso IPCA;;;;;;;;;;;
 A;15.67;;;;;;;;;;;
 I;23.24;;;;;;;;;;;
 S;35.82;;;;;;;;;;;
M;25.28;;;;;;;;;;;
;;;;;;;;;;;;
fonte: https://www.bcb.gov.br/conteudo/relatorioinflacao/EstudosEspeciais/EE069_Atualizacoes_da_estrutura_de_ponderacao_do_IPCA_e_repercussao_nas_suas_classificacoes.pdf;;;;;;;;;;;;
