atividade,descricao,CNAE 4 digitos
1700,"Fabricação de celulose, papel e produtos de papel",1731
1700,"Fabricação de celulose, papel e produtos de papel",1732
1700,"Fabricação de celulose, papel e produtos de papel",1733
1700,"Fabricação de celulose, papel e produtos de papel",1741
1700,"Fabricação de celulose, papel e produtos de papel",1742
1700,"Fabricação de celulose, papel e produtos de papel",1749
1800,Impressão e reprodução de gravações,1811
1800,Impressão e reprodução de gravações,1812
1800,Impressão e reprodução de gravações,1813
1800,Impressão e reprodução de gravações,1821
1800,Impressão e reprodução de gravações,1822
1800,Impressão e reprodução de gravações,1830
1991,Refino de petróleo e coquerias,1910
1991,Refino de petróleo e coquerias,1921
1991,Refino de petróleo e coquerias,1922
1992,Fabricação de biocombustíveis,1931
1992,Fabricação de biocombustíveis,1932
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2011
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2012
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2013
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2014
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2019
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2021
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2022
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2029
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2031
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2032
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",2033
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros", 2040
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2051
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2052
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2071
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2072
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2073
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2091
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2092
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2093
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2094
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",2099
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",2061
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",2062
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",2063
2100,Fabricação de produtos farmoquímicos e farmacêuticos,2110
2100,Fabricação de produtos farmoquímicos e farmacêuticos,2121
2100,Fabricação de produtos farmoquímicos e farmacêuticos,2122
2100,Fabricação de produtos farmoquímicos e farmacêuticos,2123
2200,Fabricação de produtos de borracha e de material plástico,2211
2200,Fabricação de produtos de borracha e de material plástico,2212
2200,Fabricação de produtos de borracha e de material plástico,2219
2200,Fabricação de produtos de borracha e de material plástico,2221
2200,Fabricação de produtos de borracha e de material plástico,2222
2200,Fabricação de produtos de borracha e de material plástico,2223
2200,Fabricação de produtos de borracha e de material plástico,2229
2300,Fabricação de produtos de minerais não metálicos,2311
2300,Fabricação de produtos de minerais não metálicos,2312
2300,Fabricação de produtos de minerais não metálicos,2319
2300,Fabricação de produtos de minerais não metálicos,2320
2300,Fabricação de produtos de minerais não metálicos,2330
2300,Fabricação de produtos de minerais não metálicos,2341
2300,Fabricação de produtos de minerais não metálicos,2342
2300,Fabricação de produtos de minerais não metálicos,2349
2300,Fabricação de produtos de minerais não metálicos,2391
2300,Fabricação de produtos de minerais não metálicos,2392
2300,Fabricação de produtos de minerais não metálicos,2399
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2411
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2412
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2421
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2422
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2423
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2424
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2431
2491,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",2439
2492,Metalurgia de metais não ferosos e a fundição de metais,2441
2492,Metalurgia de metais não ferosos e a fundição de metais,2442
2492,Metalurgia de metais não ferosos e a fundição de metais,2443
2492,Metalurgia de metais não ferosos e a fundição de metais,2449
2492,Metalurgia de metais não ferosos e a fundição de metais,2451
2492,Metalurgia de metais não ferosos e a fundição de metais,2452
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2511
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2512
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2513
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2521
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2522
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2531
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2532
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2539
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2541
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2542
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2543
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos", 2550
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2591
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2592
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2593
2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2599
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2610
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2621
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2622
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2631
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2632
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2640
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2651
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2652
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2660
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2670
2600,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",2680
2700,Fabricação de máquinas e equipamentos elétricos,2710
2700,Fabricação de máquinas e equipamentos elétricos,2721
2700,Fabricação de máquinas e equipamentos elétricos,2722
2700,Fabricação de máquinas e equipamentos elétricos,2731
2700,Fabricação de máquinas e equipamentos elétricos,2732
2700,Fabricação de máquinas e equipamentos elétricos,2733
2700,Fabricação de máquinas e equipamentos elétricos,2740
2700,Fabricação de máquinas e equipamentos elétricos,2751
2700,Fabricação de máquinas e equipamentos elétricos,2759
2700,Fabricação de máquinas e equipamentos elétricos,2790
2800,Fabricação de máquinas e equipamentos mecânicos,2811
2800,Fabricação de máquinas e equipamentos mecânicos,2812
2800,Fabricação de máquinas e equipamentos mecânicos,2813
2800,Fabricação de máquinas e equipamentos mecânicos,2814
2800,Fabricação de máquinas e equipamentos mecânicos,2815
2800,Fabricação de máquinas e equipamentos mecânicos,2821
2800,Fabricação de máquinas e equipamentos mecânicos,2822
2800,Fabricação de máquinas e equipamentos mecânicos,2823
2800,Fabricação de máquinas e equipamentos mecânicos,2824
2800,Fabricação de máquinas e equipamentos mecânicos,2825
2800,Fabricação de máquinas e equipamentos mecânicos,2829
2800,Fabricação de máquinas e equipamentos mecânicos, 2831
2800,Fabricação de máquinas e equipamentos mecânicos,2832
2800,Fabricação de máquinas e equipamentos mecânicos,2833
2800,Fabricação de máquinas e equipamentos mecânicos,2840
2800,Fabricação de máquinas e equipamentos mecânicos,2851
2800,Fabricação de máquinas e equipamentos mecânicos,2852
2800,Fabricação de máquinas e equipamentos mecânicos,2853
2800,Fabricação de máquinas e equipamentos mecânicos,2854
2800,Fabricação de máquinas e equipamentos mecânicos,2861
2800,Fabricação de máquinas e equipamentos mecânicos,2862
2800,Fabricação de máquinas e equipamentos mecânicos,2863
2800,Fabricação de máquinas e equipamentos mecânicos, 2864
2800,Fabricação de máquinas e equipamentos mecânicos,2865
2800,Fabricação de máquinas e equipamentos mecânicos,2866
2800,Fabricação de máquinas e equipamentos mecânicos,2869
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",2910
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",2920
2991,"Fabricação de automóveis, caminhões e ônibus, exceto peças",2930
2992,Fabricação de peças e acessórios para veículos automotores,2941
2992,Fabricação de peças e acessórios para veículos automotores,2942
2992,Fabricação de peças e acessórios para veículos automotores,2943
2992,Fabricação de peças e acessórios para veículos automotores,2944
2992,Fabricação de peças e acessórios para veículos automotores,2945
2992,Fabricação de peças e acessórios para veículos automotores,2949
2992,Fabricação de peças e acessórios para veículos automotores,2950
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3011
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3012
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3031
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3032
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3041
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3042
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3050
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3091
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3092
3000,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",3099
3180,Fabricação de móveis e de produtos de indústrias diversas,3101
3180,Fabricação de móveis e de produtos de indústrias diversas,3102
3180,Fabricação de móveis e de produtos de indústrias diversas,3103
3180,Fabricação de móveis e de produtos de indústrias diversas,3104
3180,Fabricação de móveis e de produtos de indústrias diversas,3211
3180,Fabricação de móveis e de produtos de indústrias diversas,3212
3180,Fabricação de móveis e de produtos de indústrias diversas,3220
3180,Fabricação de móveis e de produtos de indústrias diversas,3230
3180,Fabricação de móveis e de produtos de indústrias diversas,3240
3180,Fabricação de móveis e de produtos de indústrias diversas,3250
3180,Fabricação de móveis e de produtos de indústrias diversas,3291
3180,Fabricação de móveis e de produtos de indústrias diversas, 3292
3180,Fabricação de móveis e de produtos de indústrias diversas,3299
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3311
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3312
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3313
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3314
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3315
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3316
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3317
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3319
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3321
3300,"Manutenção, reparação e instalação de máquinas e equipamentos",3329
3500,"Energia elétrica, gás natural e outras utilidades",3511
3500,"Energia elétrica, gás natural e outras utilidades",3512
3500,"Energia elétrica, gás natural e outras utilidades",3513
