atividade,descricao,CNAE 4 digitos,cnae_2.0,Secao_ISIC_Rev.4
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",0729,072,B
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1011,101,C
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1012,101,C
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1013,101,C
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1020,102,C
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1051,105,C
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1052,105,C
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",1053,105,C
1092,Fabricação e refino de açúcar,1071,107,C
1092,Fabricação e refino de açúcar,1072,107,C
1093,Outros produtos alimentares,1031,103,C
1093,Outros produtos alimentares,1032,103,C
1093,Outros produtos alimentares,1033,103,C
1093,Outros produtos alimentares,1041,104,C
1093,Outros produtos alimentares,1042,104,C
1093,Outros produtos alimentares,1043,104,C
1093,Outros produtos alimentares,1061,106,C
1093,Outros produtos alimentares,1062,106,C
1093,Outros produtos alimentares,1063,106,C
1093,Outros produtos alimentares,1064,106,C
1093,Outros produtos alimentares,1065,106,C
1093,Outros produtos alimentares,1066,106,C
1093,Outros produtos alimentares,1069,106,C
1093,Outros produtos alimentares,1081,108,C
1093,Outros produtos alimentares,1082,108,C
1093,Outros produtos alimentares,1091,109,C
1093,Outros produtos alimentares,1092,109,C
1093,Outros produtos alimentares,1093,109,C
1093,Outros produtos alimentares,1094,109,C
1093,Outros produtos alimentares,1095,109,C
1093,Outros produtos alimentares,1096,109,C
1093,Outros produtos alimentares,1099,109,C
1100,Fabricação de bebidas,1111,11,C
1100,Fabricação de bebidas,1112,11,C
1100,Fabricação de bebidas,1113,11,C
1100,Fabricação de bebidas,1121,11,C
1100,Fabricação de bebidas,1122,11,C
1200,Fabricação de produtos do fumo,1210,12,C
1200,Fabricação de produtos do fumo,1220,12,C
1300,Fabricação de produtos têxteis,1311,13,C
1300,Fabricação de produtos têxteis,1312,13,C
1300,Fabricação de produtos têxteis,1313,13,C
1300,Fabricação de produtos têxteis,1314,13,C
1300,Fabricação de produtos têxteis,1321,13,C
1300,Fabricação de produtos têxteis,1322,13,C
1300,Fabricação de produtos têxteis,1323,13,C
1300,Fabricação de produtos têxteis,1330,13,C
1300,Fabricação de produtos têxteis,1340,13,C
1300,Fabricação de produtos têxteis,1351,13,C
1300,Fabricação de produtos têxteis,1352,13,C
1300,Fabricação de produtos têxteis,1353,13,C
1300,Fabricação de produtos têxteis,1354,13,C
1300,Fabricação de produtos têxteis,1359,13,C
1400,Confecção de artefatos do vestuário e acessórios,1411,14,C
1400,Confecção de artefatos do vestuário e acessórios,1412,14,C
1400,Confecção de artefatos do vestuário e acessórios,1413,14,C
1400,Confecção de artefatos do vestuário e acessórios,1414,14,C
1400,Confecção de artefatos do vestuário e acessórios,1421,14,C
